audio,text
wav_recordings\moi_bidyaloy_jao_020.wav,Moi bidyaloy jao
wav_recordings\moi_gaan_gao_001.wav,Moi gan gao
wav_recordings\moi_gaan_gao_002.wav,Moi gan gao
wav_recordings\moi_gaan_gao_003.wav,Moi gan gao
wav_recordings\moi_gaan_gao_004.wav,Moi gan gao
wav_recordings\moi_gaan_gao_005.wav,Moi gan gao
wav_recordings\moi_gaan_gao_006.wav,Moi gan gao
wav_recordings\moi_gaan_gao_007.wav,Moi gan gao
wav_recordings\moi_gaan_gao_008.wav,Moi gan gao
wav_recordings\moi_gaan_gao_009.wav,Moi gan gao
wav_recordings\moi_gaan_gao_010.wav,Moi gan gao
wav_recordings\moi_gaan_gao_011.wav,Moi gan gao
wav_recordings\moi_gaan_gao_012.wav,Moi gan gao
wav_recordings\moi_gaan_gao_013.wav,Moi gan gao
wav_recordings\moi_gaan_gao_014.wav,Moi gan gao
wav_recordings\moi_gaan_gao_015.wav,Moi gan gao
wav_recordings\moi_gaan_gao_016.wav,Moi gan gao
wav_recordings\moi_gaan_gao_017.wav,Moi gan gao
wav_recordings\moi_gaan_gao_018.wav,Moi gan gao
wav_recordings\moi_gaan_gao_019.wav,Moi gan gao
wav_recordings\moi_gaan_gao_020.wav,Moi gan gao
wav_recordings\moi_jao_001.wav,Moi jao
wav_recordings\moi_jao_002.wav,Moi jao
wav_recordings\moi_jao_003.wav,Moi jao
wav_recordings\moi_jao_004.wav,Moi jao
wav_recordings\moi_jao_005.wav,Moi jao
wav_recordings\moi_jao_006.wav,Moi jao
wav_recordings\moi_jao_007.wav,Moi jao
wav_recordings\moi_jao_008.wav,Moi jao
wav_recordings\moi_jao_009.wav,Moi jao
wav_recordings\moi_jao_010.wav,Moi jao
wav_recordings\moi_jao_011.wav,Moi jao
wav_recordings\moi_jao_012.wav,Moi jao
wav_recordings\moi_jao_013.wav,Moi jao
wav_recordings\moi_jao_014.wav,Moi jao
wav_recordings\moi_jao_015.wav,Moi jao
wav_recordings\moi_jao_016.wav,Moi jao
wav_recordings\moi_jao_017.wav,Moi jao
wav_recordings\moi_jao_018.wav,Moi jao
wav_recordings\moi_jao_019.wav,Moi jao
wav_recordings\moi_jao_020.wav,Moi jao
wav_recordings\moi_khao_001.wav,Moi khao
wav_recordings\moi_khao_002.wav,Moi khao
wav_recordings\moi_khao_003.wav,Moi khao
wav_recordings\moi_khao_004.wav,Moi khao
wav_recordings\moi_khao_005.wav,Moi khao
wav_recordings\moi_khao_006.wav,Moi khao
wav_recordings\moi_khao_007.wav,Moi khao
wav_recordings\moi_khao_008.wav,Moi khao
wav_recordings\moi_khao_009.wav,Moi khao
wav_recordings\moi_khao_010.wav,Moi khao
wav_recordings\moi_khao_011.wav,Moi khao
wav_recordings\moi_khao_012.wav,Moi khao
wav_recordings\moi_khao_013.wav,Moi khao
wav_recordings\moi_khao_014.wav,Moi khao
wav_recordings\moi_khao_015.wav,Moi khao
wav_recordings\moi_khao_016.wav,Moi khao
wav_recordings\moi_khao_017.wav,Moi khao
wav_recordings\moi_khao_018.wav,Moi khao
wav_recordings\moi_khao_019.wav,Moi khao
wav_recordings\moi_khao_020.wav,Moi khao
wav_recordings\moi_khelo_001.wav,Moi khelo
wav_recordings\moi_khelo_002.wav,Moi khelo
wav_recordings\moi_khelo_003.wav,Moi khelo
wav_recordings\moi_khelo_004.wav,Moi khelo
wav_recordings\moi_khelo_005.wav,Moi khelo
wav_recordings\moi_khelo_006.wav,Moi khelo
wav_recordings\moi_khelo_007.wav,Moi khelo
wav_recordings\moi_khelo_008.wav,Moi khelo
wav_recordings\moi_khelo_009.wav,Moi khelo
wav_recordings\moi_khelo_010.wav,Moi khelo
wav_recordings\moi_khelo_011.wav,Moi khelo
wav_recordings\moi_khelo_012.wav,Moi khelo
wav_recordings\moi_khelo_013.wav,Moi khelo
wav_recordings\moi_khelo_014.wav,Moi khelo
wav_recordings\moi_khelo_015.wav,Moi khelo
wav_recordings\moi_khelo_016.wav,Moi khelo
wav_recordings\moi_khelo_017.wav,Moi khelo
wav_recordings\moi_khelo_018.wav,Moi khelo
wav_recordings\moi_khelo_019.wav,Moi khelo
wav_recordings\moi_khelo_020.wav,Moi khelo
wav_recordings\moi_porho_001.wav,Moi porho
wav_recordings\moi_porho_002.wav,Moi porho
wav_recordings\moi_porho_003.wav,Moi porho
wav_recordings\moi_porho_004.wav,Moi porho
wav_recordings\moi_porho_005.wav,Moi porho
wav_recordings\moi_porho_006.wav,Moi porho
wav_recordings\moi_porho_007.wav,Moi porho
wav_recordings\moi_porho_008.wav,Moi porho
wav_recordings\moi_porho_009.wav,Moi porho
wav_recordings\moi_porho_010.wav,Moi porho
wav_recordings\moi_porho_011.wav,Moi porho
wav_recordings\moi_porho_012.wav,Moi porho
wav_recordings\moi_porho_013.wav,Moi porho
wav_recordings\moi_porho_014.wav,Moi porho
wav_recordings\moi_porho_015.wav,Moi porho
wav_recordings\moi_porho_016.wav,Moi porho
wav_recordings\moi_porho_017.wav,Moi porho
wav_recordings\moi_porho_018.wav,Moi porho
wav_recordings\moi_porho_019.wav,Moi porho
wav_recordings\moi_porho_020.wav,Moi porho
